| red            | green          | blue           |
| 8.31968789375  | 8.38744384375  | 8.22491754375  |
| 8.7992197375   | 8.9686096      | 8.56229385     |
| 9.51851749375  | 9.84035824375  | 9.06835831875  |
| 10.5974641375  | 11.14798120625 | 9.82745501875  |
| 12.2158841     | 13.10941565    | 10.96610006875 |
| 14.64351404375 | 16.05156731875 | 12.67406764375 |
| 18.2849589625  | 20.46479481875 | 15.23601900625 |
| 23.7471263375  | 27.0846360625  | 19.07894605    |
| 31.9403774     | 37.0143979375  | 24.84333661875 |
| 44.230254      | 51.90904075    | 33.4899224625  |
| 62.665068875   | 74.2510049375  | 46.4598012375  |
| 90.31729125    | 107.7639513125 | 65.914619375   |
| 131.79562475   | 158.03337075   | 95.096846625   |
| 194.013125     | 233.4375       | 138.8701875    |
